Date,Cumulative_energy_use_lower_bound,Cumulative_energy_use_estimate_bound,Cumulative_energy_use_upper_bound,Cumulative_renewable_energy_purchases,Data_storage_capacity_added_per_day,Data_storage_capacity,Energy_consumption_rate_lower_bound,Energy_consumption_rate_estimate_bound,Energy_consumption_rate_upper_bound,Energy_intensity_lower_bound,Energy_intensity_estimate_bound,Energy_intensity_upper_bound,Energy_used_to_seal_data_lower_bound,Energy_used_to_seal_data_estimate_bound,Energy_used_to_seal_data_upper_bound,Energy_used_to_store_data_lower_bound,Energy_used_to_store_data_estimate_bound,Energy_used_to_store_data_upper_bound,FIL_Open,FIL_High,FIL_Low,FIL_Close,FIL_AdjClose,FIL_Volume
2020-08-25,106714.44441473432,806513.7674321171,1626594.6438049932,594252.4946543121,13984256,9237744,4446.472724682496,33604.707651189696,67774.84193765202,516.8322193997618,3906.0164568724977,7877.754828824675,3759.24769792,21374.51576832,35036.1549824,8.9495263872,29.7566209728,80.3434308912,21.975246,22.780449,21.049786,22.193523,22.193523,12692456
2020-08-26,207921.69042932655,1570217.1425743815,3169033.7369044786,1188504.9893086243,13212864,22553828,4217.004053874752,31820.94310726875,64268.35706655829,200.7629757849918,1514.9303033347144,3059.6856082315426,3551.88210048,20195.46623808,33103.5094656,21.8501485664,72.6503907536,196.1574082644,22.2183,22.588533,20.349331,21.462585,21.462585,11780846
2020-08-27,317613.025360924,2396913.848064498,4840590.507666898,1782757.4839629363,14277536,36361328,4570.510616861952,34445.66271868755,69648.26525975979,134.9661488260472,1017.1726598228856,2056.697582069893,3838.08722752,21822.78544992,35770.9386944,35.2268545664,117.1271097536,316.2453780144,21.287678,22.822914,20.498943,22.159378,22.159378,12722236
2020-08-28,442159.6020093408,3334694.105904107,6738366.3668340575,2377009.9786172486,16174560,51427203,5189.484114290352,39074.13963632065,79074.06944273815,108.3505579429849,815.8238347968025,1650.9771210880035,4348.0452192,24722.3297232,40523.742624,49.8226742664,165.6573063036,447.2778126519,22.07238,24.722673,21.962742,24.273489,24.273489,14827319
2020-08-29,544100.9400719972,4100155.80673055,8291318.702682554,2971262.473271561,13150592,66588868,4247.591055374912,31894.20682287131,64706.40855782085,68.49217150536847,514.2923259939347,1043.3872693160029,3535.14214144,20100.28535424,32947.4931968,64.5112953184,214.4960616016,579.1433616564,24.158131,24.903015,23.661215,23.958603,23.958603,11909919
2020-08-30,651604.3339694159,4906565.3545829225,9928856.469971567,3565514.9679258727,13833952,79698897,4479.345216303248,33600.36551971655,68230.80471631873,60.34789042160927,452.6802643229448,919.2381760200254,3718.84297664,21144.78061344,34659.5833408,77.2122914136,256.7260870164,693.1652168781,23.999889,24.087238,22.653906,23.271317,23.271317,12931604
2020-08-31,763816.9225396819,5747376.514895572,11637961.989027984,4159767.462580185,14401344,93902134,4675.563184169056,35033.764713821656,71212.79701514172,53.46361714843382,400.6002507398362,814.2962816923844,3871.36929408,22012.02226368,36081.1272576,90.9723874192,302.4775540408,816.6950300382,23.271723,24.045937,22.749643,23.135849,23.135849,11390455
2020-09-01,873197.566564269,6565528.293497941,13303677.42743469,4754053.290567831,13977696,108235381,4557.564357482704,34089.6247986036,69404.8750155126,45.213010948803024,338.18383205698944,688.5263987165946,3757.48423872,21364.48900512,35019.7195584,104.8584371128,348.6478092772,941.3555791713,22.960051,24.385921,22.957739,23.747984,23.747984,15030026
2020-09-02,982554.9784908643,7382313.089161043,14968826.182663579,5348339.118555476,13924832,122057055,4556.59621148632,34032.66729959142,69381.2629702954,40.08459754622796,299.3870224203627,610.3503304511864,3743.27333824,21283.68796704,34887.2740928,118.248874884,393.170185566,1061.5668244515,23.745277,24.075901,22.530508,23.038567,23.038567,12435331
2020-09-03,1094645.0196599911,8218602.771716686,16675422.305210363,5942624.946543122,14234944,135607368,4670.456595754112,34845.37019588611,71108.23805246135,36.9807677709507,275.9063309309712,563.0364363968487,3826.63764608,21757.68485568,35664.2286976,131.3764181184,436.8184538016,1179.4179617064,23.040462,23.208532,20.995022,21.631742,21.631742,12912275
